,Num_Cashiers,Num_Servers,Num_Ushers,Average_Wait_Minutes,Average_Wait_Seconds
997,6,16,8,19,37
998,6,16,9,19,43
999,6,17,1,18,57
1000,6,17,2,19,40
1001,6,17,3,21,55
1002,6,17,4,20,17
1003,6,17,5,21,42
1004,6,17,6,21,5
1005,6,17,7,20,1
1006,6,17,8,20,53
1007,6,17,9,18,59
1008,6,18,1,20,43
1009,6,18,2,19,57
1010,6,18,3,19,0
1011,6,18,4,21,12
1012,6,18,5,19,47
1013,6,18,6,21,5
1014,6,18,7,18,25
1015,6,18,8,21,21
1016,6,18,9,18,33
1017,6,19,1,20,13
1018,6,19,2,21,12
1019,6,19,3,21,10
1020,6,19,4,20,45
1021,6,19,5,20,9
1022,6,19,6,21,59
1023,6,19,7,20,21
1024,6,19,8,19,11
1025,6,19,9,19,10
1026,7,1,1,17,59
1027,7,1,2,18,32
1028,7,1,3,19,9
1029,7,1,4,18,23
1030,7,1,5,20,12
1031,7,1,6,19,42
1032,7,1,7,18,27
1033,7,1,8,19,0
1034,7,1,9,19,36
1035,7,2,1,22,8
1036,7,2,2,20,34
1037,7,2,3,20,54
1038,7,2,4,20,46
1039,7,2,5,18,27
1040,7,2,6,20,50
1041,7,2,7,20,6
1042,7,2,8,20,27
1043,7,2,9,20,48
1044,7,3,1,18,42
1045,7,3,2,21,41
1046,7,3,3,19,45
1047,7,3,4,20,50
1048,7,3,5,19,24
1049,7,3,6,19,30
1050,7,3,7,19,20
1051,7,3,8,19,25
1052,7,3,9,19,32
1053,7,4,1,20,27
1054,7,4,2,18,12
1055,7,4,3,16,19
1056,7,4,4,19,57
1057,7,4,5,19,9
1058,7,4,6,19,49
1059,7,4,7,19,7
1060,7,4,8,21,3
1061,7,4,9,18,3
1062,7,5,1,17,41
1063,7,5,2,18,24
1064,7,5,3,17,16
1065,7,5,4,16,43
1066,7,5,5,15,41
1067,7,5,6,17,15
1068,7,5,7,17,18
1069,7,5,8,18,23
1070,7,5,9,21,5
1071,7,6,1,17,7
1072,7,6,2,16,13
1073,7,6,3,17,19
1074,7,6,4,17,9
1075,7,6,5,17,24
1076,7,6,6,17,3
1077,7,6,7,16,27
1078,7,6,8,16,16
1079,7,6,9,16,44
1080,7,7,1,15,15
1081,7,7,2,16,34
1082,7,7,3,15,57
1083,7,7,4,15,34
1084,7,7,5,18,50
1085,7,7,6,15,45
1086,7,7,7,15,52
1087,7,7,8,16,37
1088,7,7,9,17,5
1089,7,8,1,16,58
1090,7,8,2,18,11
1091,7,8,3,15,26
1092,7,8,4,16,41
1093,7,8,5,15,42
1094,7,8,6,15,59
1095,7,8,7,16,15
1096,7,8,8,16,10
1097,7,8,9,17,32
1098,7,9,1,15,30
1099,7,9,2,17,10
1100,7,9,3,15,49
1101,7,9,4,16,48
1102,7,9,5,17,49
1103,7,9,6,14,55
1104,7,9,7,16,60
1105,7,9,8,18,13
1106,7,9,9,15,39
1107,7,10,1,14,45
1108,7,10,2,17,34
1109,7,10,3,17,25
1110,7,10,4,15,59
1111,7,10,5,17,12
1112,7,10,6,16,55
1113,7,10,7,18,23
1114,7,10,8,17,13
1115,7,10,9,17,42
1116,7,11,1,16,8
1117,7,11,2,14,34
1118,7,11,3,16,0
1119,7,11,4,15,54
1120,7,11,5,16,16
1121,7,11,6,16,48
1122,7,11,7,16,4
1123,7,11,8,17,0
1124,7,11,9,16,55
1125,7,12,1,16,8
1126,7,12,2,16,3
1127,7,12,3,16,33
1128,7,12,4,16,7
1129,7,12,5,16,36
1130,7,12,6,16,36
1131,7,12,7,16,50
1132,7,12,8,16,27
1133,7,12,9,15,16
