"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1275",28.105,28.120001,27.2575,27.285,382274800,24.560442
"1276",29.407499,29.530001,28.827499,28.827499,585908400,25.948917
"1277",29.08,29.797501,28.889999,29.725,337745600,26.756802
"1278",29.6,30,29.2125,29.290001,334982000,26.36524
"1279",29.512501,29.7925,29.02,29.657499,250956400,26.696037
"1280",29.625,29.772499,29.4025,29.6625,207662800,26.700539
"1281",29.625,30.127501,29.577499,29.889999,280598800,26.905327
"1282",30.004999,30.057501,29.8125,29.985001,168984800,27.097363
"1283",30.004999,30.0625,29.612499,29.7325,174826400,26.869173
"1284",29.637501,29.959999,29.6075,29.93,155559200,27.047657
"1285",30.0425,30.5375,30.040001,30.504999,248034000,27.567284
"1286",30.692499,31.23,30.625,31.219999,294247200,28.213423
"1287",31.514999,31.870001,31.3925,31.615,297898000,28.570381
"1288",31.82,31.82,31.4125,31.77,217088800,28.710461
"1289",31.872499,32.220001,31.73,31.9575,252609600,28.879908
"1290",31.907499,32.195,31.862499,32.18,179566800,29.080973
"1291",32.119999,32.2575,32.0825,32.112499,149449600,29.019974
"1292",32.154999,32.375,32.012501,32.375,195793600,29.257195
"1293",32.505001,33.25,32.415001,33.25,283896400,30.047934
"1294",33.235001,33.400002,32.7925,33.0425,276912400,29.860418
"1295",32.889999,32.900002,32.037498,32.197498,298846800,29.096792
"1296",32.197498,32.717499,31.6525,32.605,365150000,29.465055
"1297",32.5,32.642502,32.060001,32.115002,248059200,29.02224
"1298",32.3125,32.57,32.075001,32.272499,192386800,29.164568
"1299",32.240002,32.380001,32.022499,32.34,151265200,29.225567
"1300",32.275002,32.389999,32.080002,32.134998,126665200,29.040308
"1301",32.145,32.1875,31.440001,31.602501,226068400,28.55909
"1302",32.099998,32.342499,31.565001,31.65,291368400,28.602015
"1303",31.99,32.392502,31.264999,31.785,354114000,28.724018
"1304",31.602501,31.805,30.950001,31.127501,275426400,28.129833
"1305",31.1875,31.192499,30.5275,30.559999,275756000,27.616985
"1306",30.577499,31.225,30.407499,31.112499,193450800,28.11628
"1307",31.1,31.35,30.645,30.897499,207309200,27.92198
"1308",30.969999,31.237499,30.717501,31.237499,143497200,28.229242
"1309",31.475,31.83,31.4125,31.76,204092400,28.701427
"1310",31.75,32.290001,31.592501,32.1175,261083600,29.024492
"1311",32.1875,32.3125,31.85,31.875,183238000,28.805347
"1312",32.0625,32.099998,31.290001,31.475,274780400,28.443872
"1313",31.780001,31.9625,31.629999,31.8025,150838800,28.73983
"1314",31.807501,32.009998,31.639999,31.672501,131369200,28.622349
"1315",31.635,31.705,30.844999,30.844999,206620800,27.87454
"1316",30.690001,31.219999,30.65,31.059999,190291600,28.068838
"1317",31.1425,31.174999,30.727501,30.8125,158184800,27.845179
"1318",31.012501,31.6,31,31.592501,188398800,28.550051
"1319",31.522499,31.622499,31.09,31.1075,168362400,28.111761
"1320",31.205,31.280001,30.775,31.0625,162485600,28.071093
"1321",31.2575,31.389999,31.047501,31.33,128880400,28.312834
"1322",31.1175,31.877501,31.0825,31.8375,148776000,28.771469
"1323",31.91,32.029999,31.495001,31.502501,140049200,28.468719
"1324",31.4625,31.6,31.2425,31.4,149316800,28.376087
"1325",31.4625,31.645,31.165001,31.639999,129936000,28.592976
"1326",31.487499,31.8025,31.315001,31.775,160752000,28.714979
"1327",32.092499,32.142502,31.6525,31.7125,145460400,28.658497
