,ORDER_ID,PRODUCT_ID,PAYMENT_METHOD,TOTAL_VALUE,CREATED_AT,STORE_TO_USER_DISTANCE,OBSF_USER_ID,OBSF_STORE_TYPE
1973,35400312,2090274266,cash,0.0,2019-04-15 18:59:07+00:00,4396.0,8979,5
1974,35411167,2090274266,cash,930.0,2019-04-16 14:21:53+00:00,2656.0,1738,5
1975,35400312,2090274267,cash,0.0,2019-04-15 18:59:07+00:00,4396.0,8979,5
1976,35421106,2090274273,cc,11200.0,2019-04-16 22:46:58+00:00,1667.0,26418,5
1977,35421157,2090274273,cc,9250.0,2019-04-16 22:52:20+00:00,5497.0,10991,5
1978,35403435,2090274274,cc,1360.0,2019-04-15 20:45:52+00:00,1915.0,6599,14
1979,35420573,2090274274,cc,4720.0,2019-04-16 22:02:54+00:00,1699.0,5202,5
1980,35421157,2090274274,cc,9250.0,2019-04-16 22:52:20+00:00,5497.0,10991,5
1981,35421490,2090274274,cc,0.0,2019-04-16 23:43:07+00:00,2248.0,23860,14
1982,35421640,2090274274,cash,8840.0,2019-04-17 00:29:19+00:00,2582.0,11572,5
1983,35408404,2090274279,cc,50.0,2019-04-16 12:27:21+00:00,2636.0,10185,5
1984,35421629,2090274280,cash,16540.0,2019-04-17 00:25:50+00:00,1690.0,5952,5
1985,35405618,2090274282,cc,30230.0,2019-04-15 22:13:18+00:00,2678.0,32,5
1986,35415514,2090274597,cc,27282.0,2019-04-16 18:58:58+00:00,1170.0,19249,4
1987,35409025,2090274597,cc,28762.0,2019-04-16 12:54:40+00:00,3118.0,1814,4
1988,35397211,2090274605,cc,17792.0,2019-04-15 15:55:34+00:00,1348.0,13133,4
1989,35415514,2090274605,cc,27282.0,2019-04-16 18:58:58+00:00,1170.0,19249,4
1990,35419265,2090274605,cc,12792.0,2019-04-16 20:59:52+00:00,1472.0,29264,4
1991,35411531,2090274605,cc,13992.0,2019-04-16 14:40:21+00:00,1194.0,13688,4
1992,35397977,2090274605,cc,40862.0,2019-04-15 16:45:10+00:00,908.0,3554,4
1993,35418535,2090274612,cc,11100.0,2019-04-16 20:34:59+00:00,1908.0,8924,4
1994,35400191,2090274728,cash,3244.0,2019-04-15 18:53:15+00:00,2651.0,10050,16
1995,35416067,2090274755,cash,18900.0,2019-04-16 19:18:21+00:00,920.0,839,16
1996,35399429,2090274755,cash,20320.0,2019-04-15 18:17:14+00:00,3582.0,15462,4
1997,35392891,2090274756,cc,37850.0,2019-04-15 12:01:19+00:00,4341.0,7479,16
1998,35404671,2090274756,cash,16120.0,2019-04-15 21:26:47+00:00,3356.0,18011,4
1999,35414078,2090274856,cc,0.0,2019-04-16 17:35:30+00:00,1695.0,1473,16
2000,35405019,2090275089,cash,0.0,2019-04-15 21:41:58+00:00,841.0,15850,14
2001,35405335,2090275089,cash,50.0,2019-04-15 21:57:20+00:00,1678.0,659,5
2002,35406151,2090275089,cc,6830.0,2019-04-15 22:50:04+00:00,4167.0,2502,5
2003,35421490,2090275089,cc,0.0,2019-04-16 23:43:07+00:00,2248.0,23860,14
2004,35421507,2090275089,cc,8930.0,2019-04-16 23:46:38+00:00,1833.0,17356,5
2005,35421519,2090275089,cc,5750.0,2019-04-16 23:49:08+00:00,2882.0,16595,5
2006,35421534,2090275089,cc,5080.0,2019-04-16 23:52:47+00:00,2315.0,26865,5
2007,35395763,2090275091,cash,0.0,2019-04-15 14:27:47+00:00,1997.0,2829,5
2008,35418674,2090275091,cc,2080.0,2019-04-16 20:38:57+00:00,2588.0,8047,5
2009,35403681,2090275091,cash,0.0,2019-04-15 20:55:43+00:00,2554.0,11224,5
2010,35404938,2090275091,cc,14160.0,2019-04-15 21:38:51+00:00,7312.0,12064,5
2011,35405307,2090275091,cash,0.0,2019-04-15 21:55:45+00:00,2795.0,2109,14
2012,35405751,2090275091,cash,0.0,2019-04-15 22:22:09+00:00,4233.0,3190,14
2013,35405880,2090275091,cc,4890.0,2019-04-15 22:29:41+00:00,2367.0,18194,5
2014,35406627,2090275091,cc,3460.0,2019-04-15 23:55:40+00:00,2284.0,8539,5
2015,35406822,2090275091,cash,6620.0,2019-04-16 01:55:26+00:00,1786.0,4593,5
2016,35407489,2090275091,cc,6180.0,2019-04-16 10:35:49+00:00,2422.0,6956,5
2017,35410886,2090275091,cash,3780.0,2019-04-16 14:08:33+00:00,1965.0,20569,5
2018,35414138,2090275091,cash,0.0,2019-04-16 17:39:49+00:00,6434.0,575,5
2019,35420578,2090275091,cc,5460.0,2019-04-16 22:03:17+00:00,2672.0,14710,14
2020,35421064,2090275091,cc,11390.0,2019-04-16 22:43:48+00:00,3598.0,8329,14
2021,35421691,2090275091,cc,2340.0,2019-04-17 00:59:16+00:00,804.0,8049,5
2022,35414783,2090275099,cash,610.0,2019-04-16 18:21:46+00:00,5437.0,611,5
2023,35421691,2090275102,cc,2340.0,2019-04-17 00:59:16+00:00,804.0,8049,5
2024,35404856,2090275104,cash,1380.0,2019-04-15 21:35:41+00:00,1694.0,8313,5
2025,35405880,2090275104,cc,4890.0,2019-04-15 22:29:41+00:00,2367.0,18194,5
2026,35405999,2090275104,cash,4120.0,2019-04-15 22:38:13+00:00,4409.0,10748,5
2027,35421361,2090275104,cc,6460.0,2019-04-16 23:18:41+00:00,5899.0,26823,5
2028,35421495,2090275104,cash,12350.0,2019-04-16 23:44:06+00:00,1145.0,13778,14
2029,35406626,2090275106,cc,4970.0,2019-04-15 23:55:15+00:00,1945.0,5228,5
2030,35396984,2090275112,cash,30.0,2019-04-15 15:40:22+00:00,1283.0,1554,5
2031,35404712,2090275112,cash,1420.0,2019-04-15 21:28:42+00:00,1946.0,4102,5
2032,35406151,2090275112,cc,6830.0,2019-04-15 22:50:04+00:00,4167.0,2502,5
2033,35406212,2090275112,cc,7340.0,2019-04-15 22:55:33+00:00,3154.0,15274,5
2034,35406822,2090275112,cash,6620.0,2019-04-16 01:55:26+00:00,1786.0,4593,5
2035,35421204,2090275112,cash,13070.0,2019-04-16 22:55:45+00:00,1210.0,9521,5
2036,35421507,2090275112,cc,8930.0,2019-04-16 23:46:38+00:00,1833.0,17356,5
2037,35413587,2090275112,cash,0.0,2019-04-16 17:02:32+00:00,3592.0,16582,5
2038,35420956,2090276456,cc,3980.0,2019-04-16 22:34:07+00:00,2552.0,19802,5
2039,35419421,2090276457,cc,11170.0,2019-04-16 21:06:19+00:00,4329.0,18974,5
